[2026-04-19T19:59:23.924Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (344ms, 48432B)
[2026-04-19T19:59:41.692Z] GET https://developers.figma.com/assets/js/5e95c892.913b7b8e.js → 200 (1ms, 378B)
[2026-04-19T19:59:41.692Z] GET https://developers.figma.com/assets/js/fbcd28be.4d2aea8b.js → 200 (1ms, 226B)
[2026-04-19T19:59:41.692Z] GET https://developers.figma.com/assets/js/a7bd4aaa.46f710ed.js → 200 (2ms, 732B)
[2026-04-19T19:59:41.692Z] GET https://developers.figma.com/assets/js/23980ce4.66e7738c.js → 200 (2ms, 8211B)
[2026-04-19T19:59:41.692Z] GET https://developers.figma.com/assets/js/a94703ab.9f020c9f.js → 200 (2ms, 11905B)
[2026-04-19T19:59:41.692Z] GET https://developers.figma.com/assets/js/17896441.cef22b97.js → 200 (2ms, 14656B)
[2026-04-19T19:59:41.692Z] GET https://developers.figma.com/assets/js/13cb4fc8.c54a8b6a.js → 200 (2ms, 7340B)
[2026-04-19T19:59:41.693Z] GET https://developers.figma.com/assets/js/95ff11d4.42a0ce0b.js → 200 (545ms, 10972B)
[2026-04-19T19:59:52.738Z] GET https://developers.figma.com/assets/js/5e95c892.913b7b8e.js → 200 (2ms, 378B)
[2026-04-19T19:59:52.738Z] GET https://developers.figma.com/assets/js/fbcd28be.4d2aea8b.js → 200 (3ms, 226B)
[2026-04-19T19:59:52.738Z] GET https://developers.figma.com/assets/js/a7bd4aaa.46f710ed.js → 200 (4ms, 732B)
[2026-04-19T19:59:52.738Z] GET https://developers.figma.com/assets/js/23980ce4.66e7738c.js → 200 (4ms, 8211B)
[2026-04-19T19:59:52.738Z] GET https://developers.figma.com/assets/js/a94703ab.9f020c9f.js → 200 (4ms, 11905B)
[2026-04-19T19:59:52.738Z] GET https://developers.figma.com/assets/js/17896441.cef22b97.js → 200 (4ms, 14656B)
[2026-04-19T19:59:52.740Z] GET https://developers.figma.com/assets/js/13cb4fc8.c54a8b6a.js → 200 (3ms, 7340B)
[2026-04-19T19:59:52.740Z] GET https://developers.figma.com/assets/js/98d92a70.6cc06e18.js → 200 (532ms, 7977B)
[2026-04-19T20:28:47.814Z] GET https://developers.figma.com/docs/code-connect/template-files/ → 200 (977ms, ?B)
[2026-04-19T20:28:48.878Z] GET https://developers.figma.com/assets/css/styles.4f1578d2.css → 200 (?ms, 462312B)
[2026-04-19T20:28:48.879Z] GET https://developers.figma.com/assets/js/runtime~main.fcbe0ea7.js → 200 (?ms, 55046B)
